Rank,Release Group,Worldwide,Domestic,%,Foreign,%
149,Nalan,"$33,925",-,-,"$33,925",100%
150,The Unkind,"$33,603",-,-,"$33,603",100%
151,Petya na moyata Petya,"$32,209",-,-,"$32,209",100%
152,Fritanga Express,"$31,153",-,-,"$31,153",100%
153,Another Name,"$30,250",-,-,"$30,250",100%
154,Shortbus 2022 Re-release (Restoration),"$28,835","$28,835",100%,-,-
155,C.I.Ape,"$28,517",-,-,"$28,517",100%
156,Embrace Again,"$27,339",-,-,"$27,339",100%
157,Superworm,"$27,286",-,-,"$27,286",100%
158,Khiladi,"$27,250",-,-,"$27,250",100%
159,Düs Pesine,"$25,416",-,-,"$25,416",100%
160,Know Fear,"$25,126",-,-,"$25,126",100%
161,Yildizlar Da Kayar,"$23,558",-,-,"$23,558",100%
162,Kara Neme: Gelin Deresi,"$23,177",-,-,"$23,177",100%
163,Spravzhnii Santa,"$21,719",-,-,"$21,719",100%
164,Nashi deti,"$20,800",-,-,"$20,800",100%
165,Detours,"$20,275",-,-,"$20,275",100%
166,Portret neznakomtsa,"$19,968",-,-,"$19,968",100%
167,The Commando,"$19,253",-,-,"$19,253",100%
168,Candlelight Revolution,"$19,153",-,-,"$19,153",100%
169,A Vanishing Fog,"$17,959",-,-,"$17,959",100%
170,Cumali Ceber 666,"$17,009",-,-,"$17,009",100%
171,Brighton 4th,"$16,305","$16,305",100%,-,-
172,Mothers of the Revolution,"$15,730",-,-,"$15,730",100%
173,Lobis,"$15,359",-,-,"$15,359",100%
174,Catch the Fair One,"$14,563","$13,894",95.4%,$669,4.6%
175,Hinterland,"$13,846",-,-,"$13,846",100%
176,Olga,"$12,939",-,-,"$12,939",100%
177,The Automat,"$12,420","$12,420",100%,-,-
178,Doineann,"$12,175",-,-,"$12,175",100%
179,The Crusade,"$11,490",-,-,"$11,490",100%
180,Friday the 13th 2021 Re-release,"$11,064",-,-,"$11,064",100%
181,"Mama, I'm Home","$10,258",-,-,"$10,258",100%
182,Lübbey'in Laneti,"$10,187",-,-,"$10,187",100%
183,The Dance,"$9,304",-,-,"$9,304",100%
184,Shooter,"$9,204",-,-,"$9,204",100%
185,WarHunt,"$8,953",-,-,"$8,953",100%
186,The Pregnant Tree and the Goblin,"$8,655",-,-,"$8,655",100%
187,Broken Keys,"$8,510",-,-,"$8,510",100%
188,Koati,"$8,137",-,-,"$8,137",100%
189,My Little Princess 2022 Re-release,"$8,018",-,-,"$8,018",100%
190,"Help, I Shrunk My Friends","$7,964",-,-,"$7,964",100%
191,Dzhigalou,"$7,831",-,-,"$7,831",100%
192,Ubit bossa,"$7,728",-,-,"$7,728",100%
193,Söhretler Okulu,"$7,638",-,-,"$7,638",100%
194,Babi Yar. Context,"$7,296",-,-,"$7,296",100%
195,Zayed 9,"$7,273",-,-,"$7,273",100%
196,Deadlock,"$6,491",-,-,"$6,491",100%
197,Canto cósmico. Niño de Elche,"$6,133",-,-,"$6,133",100%
198,Mer Baky 4,"$6,040",-,-,"$6,040",100%
199,Last Film Show,"$5,914",-,-,"$5,914",100%
200,Italian Studies,"$5,895","$5,895",100%,-,-
