Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
85,Söhretler Okulu,"$7,638",-,7638,2022.csv,2022,-,100%
86,Hard Hit,"$7,633,895",-,7633895,2021.csv,2021,-,100%
87,The Heist of the Century,"$7,627,100",-,7627100,2020.csv,2020,-,100%
88,Little Canned Men,"$7,600,000",-,7600000,2021.csv,2021,-,100%
89,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",6272374,2021.csv,2021,17.4%,82.6%
90,Dzhigalou,"$7,578",-,7578,2022.csv,2022,-,100%
91,Ubit bossa,"$7,565",-,7565,2022.csv,2022,-,100%
92,Dad,"$7,544,581",-,7544581,2021.csv,2021,-,100%
93,The Mauritanian,"$7,527,030","$836,536",6690494,2021.csv,2021,11.1%,88.9%
94,The Ice Road,"$7,502,846",-,7502846,2021.csv,2021,-,100%
95,De Gaulle,"$7,501,454",-,7501454,2020.csv,2020,-,100%
96,Fukushima 50,"$7,494,243",-,7494243,2020.csv,2020,-,100%
97,"Turu, the Wacky Hen","$7,431,553",-,7431553,2020.csv,2020,-,100%
98,Love Letter 2021 Re-release,"$7,400,000",-,7400000,2021.csv,2021,-,100%
99,Super-héros malgré lui,"$7,375,119",-,7375119,2022.csv,2022,-,100%
100,'83,"$7,349,452","$4,055,660",3293792,2021.csv,2021,55.2%,44.8%
101,Signal: The Movie,"$7,344,186",-,7344186,2021.csv,2021,-,100%
102,The Best Years,"$7,340,132",-,7340132,2020.csv,2020,-,100%
103,Zayed 9,"$7,273",-,7273,2022.csv,2022,-,100%
104,Mark Hunt: The Fight of His Life,"$7,259",-,7259,2022.csv,2022,-,100%
105,Lost Illusions,"$7,248,237",-,7248237,2021.csv,2021,-,100%
106,Mamma Mia! Here We Go Again 2020 Re-release,"$7,209,678",-,7209678,2020.csv,2020,-,100%
107,Dear Tutu: Operation T-Rex,"$7,200,000",-,7200000,2021.csv,2021,-,100%
108,Water Boys,"$7,200,000",-,7200000,2021.csv,2021,-,100%
109,Couple from the Future,"$7,160,729",-,7160729,2021.csv,2021,-,100%
110,The (UN)perfect Guy,"$7,154,649",-,7154649,2020.csv,2020,-,100%
111,Bohemian Rhapsody 2020 Re-release,"$7,154,052","$240,000",6914052,2020.csv,2020,3.4%,96.6%
112,Contra,"$7,099,187",-,7099187,2021.csv,2021,-,100%
113,Back to the Wharf,"$7,090,000",-,7090000,2020.csv,2020,-,100%
114,Adu,"$7,085,946",-,7085946,2020.csv,2020,-,100%
115,Antebellum,"$7,060,384",-,7060384,2020.csv,2020,-,100%
116,Fatale,"$7,031,289","$6,306,897",724392,2020.csv,2020,89.7%,10.3%
117,America Latina,"$693,818",-,693818,2022.csv,2022,-,100%
118,Ghost in Transit,"$69,013",-,69013,2022.csv,2022,-,100%
119,Detective Chinatown 3,"$686,257,563",-,686257563,2021.csv,2021,-,100%
120,The Last Execution,"$68,529",-,68529,2022.csv,2022,-,100%
121,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,68000000,2020.csv,2020,-,100%
122,West Side Story,"$67,092,278","$37,309,162",29783116,2021.csv,2021,55.6%,44.4%
123,Mulan,"$66,800,000",-,66800000,2020.csv,2020,-,100%
124,Hello Jadoo: The Secret of Jeju Island,"$658,191",-,658191,2022.csv,2022,-,100%
125,Boiling Point,"$651,281",-,651281,2022.csv,2022,-,100%
126,Liubov i blohery,"$650,857",-,650857,2022.csv,2022,-,100%
127,The Conversation 2021 Re-release,"$65,764","$65,764",0,2022.csv,2022,100%,-
128,Stand by Me Doraemon 2,"$65,201,374",-,65201374,2020.csv,2020,-,100%
129,Adieu Paris,"$647,135",-,647135,2022.csv,2022,-,100%
130,Jujutsu Kaisen 0: The Movie,"$64,330,795",-,64330795,2021.csv,2021,-,100%
131,The Rescue,"$64,195,986","$18,797",64177189,2020.csv,2020,<0.1%,100%
132,Benden Ne Olur,"$639,014",-,639014,2022.csv,2022,-,100%
133,Belle,"$62,815,697","$3,821,762",58993935,2021.csv,2021,6.1%,93.9%
134,Tazza 2: The Hidden Card,"$61,756",-,61756,2022.csv,2022,-,100%
135,Love You Forever,"$60,670,799",-,60670799,2020.csv,2020,-,100%
136,Ron's Gone Wrong,"$60,660,840","$23,009,270",37651570,2021.csv,2021,37.9%,62.1%
137,Panghrun,"$60,244",-,60244,2022.csv,2022,-,100%
138,Spycies,"$6,989,285",-,6989285,2020.csv,2020,-,100%
139,Sooryavanshi,"$6,984,082","$3,547,776",3436306,2021.csv,2021,50.8%,49.2%
140,Extinct,"$6,927,641",-,6927641,2021.csv,2021,-,100%
141,Jim Button and the Wild 13,"$6,921,652",-,6921652,2020.csv,2020,-,100%
142,Are You Lonesome Tonight?,"$6,902,639",-,6902639,2021.csv,2021,-,100%
143,Psy 3: W imie zasad,"$6,725,146",-,6725146,2020.csv,2020,-,100%
144,Blood Moon Party,"$6,709,383",-,6709383,2020.csv,2020,-,100%
145,Dragon Rider,"$6,701,556",-,6701556,2020.csv,2020,-,100%
146,Innocence,"$6,659,968",-,6659968,2020.csv,2020,-,100%
147,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,6574905,2020.csv,2020,-,100%
148,Chhapaak,"$6,532,100","$604,334",5927766,2020.csv,2020,9.3%,90.7%
149,"Love Me, Love Me Not","$6,494,241",-,6494241,2020.csv,2020,-,100%
150,Deadlock,"$6,491",-,6491,2022.csv,2022,-,100%
151,Detours,"$6,487",-,6487,2022.csv,2022,-,100%
152,Hammamet,"$6,434,874",-,6434874,2020.csv,2020,-,100%
153,Lindenberg! Mach dein Ding,"$6,404,964",-,6404964,2020.csv,2020,-,100%
154,Midnight Swan,"$6,397,065",-,6397065,2020.csv,2020,-,100%
155,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,6395525,2020.csv,2020,-,100%
156,Simply Black,"$6,323,750",-,6323750,2020.csv,2020,-,100%
157,Wunderschön,"$6,300,000",-,6300000,2022.csv,2022,-,100%
158,My Boyfriend's Meds,"$6,292,780","$2,971,116",3321664,2020.csv,2020,47.2%,52.8%
159,Bill & Ted Face the Music,"$6,274,027","$3,439,660",2834367,2020.csv,2020,54.8%,45.2%
160,Hotel Belgrade,"$6,199,413",-,6199413,2020.csv,2020,-,100%
161,Mer Baky 4,"$6,040",-,6040,2022.csv,2022,-,100%
162,How to Be a Good Wife,"$6,029,102",-,6029102,2020.csv,2020,-,100%
163,The Legacy Of Dr. Death: Black File,"$6,024,046",-,6024046,2020.csv,2020,-,100%
164,Träume sind wie wilde Tiger,"$59,423",-,59423,2022.csv,2022,-,100%
165,The Grandmother,"$584,217",-,584217,2022.csv,2022,-,100%
166,Save the Cinema,"$58,640",-,58640,2022.csv,2022,-,100%
167,Cloudy Mountain,"$58,281,703",-,58281703,2021.csv,2021,-,100%
168,Avatar 2021 Re-release,"$57,566,409",-,57566409,2021.csv,2021,-,100%
169,Nezha Reborn,"$56,088,478",-,56088478,2021.csv,2021,-,100%
170,Nobody,"$55,405,035","$27,268,035",28137000,2021.csv,2021,49.2%,50.8%
171,Howl's Moving Castle 2022 Re-release,"$54,646",-,54646,2022.csv,2022,-,100%
172,Upcoming,"$54,300,000",-,54300000,2021.csv,2021,-,100%
173,Bangarraju,"$534,735",-,534735,2022.csv,2022,-,100%
174,Lynx,"$531,572",-,531572,2022.csv,2022,-,100%
175,Mult V Kino Vol 133,"$53,075",-,53075,2022.csv,2022,-,100%
176,Man in Love,"$52,946,097",-,52946097,2021.csv,2021,-,100%
177,Break Through the Darkness,"$52,700,000",-,52700000,2021.csv,2021,-,100%
178,Greenland,"$52,300,000",-,52300000,2020.csv,2020,-,100%
179,Tolo Tolo,"$52,186,426",-,52186426,2020.csv,2020,-,100%
180,Zlatni decko,"$516,236",-,516236,2022.csv,2022,-,100%
181,Estado impuro,$514,-,514,2022.csv,2022,-,100%
182,Escape Room: Tournament of Champions,"$51,914,753","$25,314,753",26600000,2021.csv,2021,48.8%,51.2%
183,Schemes in Antiques,"$51,637,422","$36,501",51600921,2021.csv,2021,<0.1%,99.9%
184,Venom: Let There Be Carnage,"$502,050,366","$213,550,366",288500000,2021.csv,2021,42.5%,57.5%
185,Vanguard,"$50,866,901","$793,525",50073376,2020.csv,2020,1.6%,98.4%
186,Jackass Forever,"$50,382,462","$40,105,833",10276629,2022.csv,2022,79.6%,20.4%
187,The Rhythm Section,"$5,989,583","$5,437,971",551612,2020.csv,2020,90.8%,9.2%
188,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,5975729,2020.csv,2020,-,100%
189,The Lion King 2020 Re-release,"$5,948,352",-,5948352,2020.csv,2020,-,100%
190,Italian Studies,"$5,895","$5,895",0,2022.csv,2022,100%,-
191,Twiceborn,"$5,880,157","$11,527",5868630,2020.csv,2020,0.2%,99.8%
192,The Royal Bride,"$5,830,719",-,5830719,2020.csv,2020,-,100%
193,Caged Birds,"$5,828",-,5828,2022.csv,2022,-,100%
194,Beasts Clawing at Straws,"$5,796,059",-,5796059,2020.csv,2020,-,100%
195,Jumanji 2021 Re-release,"$5,788",-,5788,2022.csv,2022,-,100%
196,Last Film Show,"$5,783",-,5783,2022.csv,2022,-,100%
197,Alter Ego,"$5,733","$5,733",0,2022.csv,2022,100%,-
198,Last Letter,"$5,663,972",-,5663972,2020.csv,2020,-,100%
199,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,5624218,2020.csv,2020,-,100%
200,The Policeman's Lineage,"$5,613,691",-,5613691,2022.csv,2022,-,100%
201,Hocus Pocus 2020 Re-release,"$5,609,193","$4,828,000",781193,2020.csv,2020,86.1%,13.9%
202,Adieu Monsieur Haffmann,"$5,602,844",-,5602844,2022.csv,2022,-,100%
203,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,5543147,2020.csv,2020,-,100%
204,Mama Weed,"$5,432,038","$29,151",5402887,2020.csv,2020,0.5%,99.5%
205,Divorce Club,"$5,316,313",-,5316313,2020.csv,2020,-,100%
206,A Piece of Cake,"$5,253,994",-,5253994,2020.csv,2020,-,100%
207,Babi Yar. Context,"$5,240",-,5240,2022.csv,2022,-,100%
208,Cindy La Regia,"$5,222,322",-,5222322,2020.csv,2020,-,100%
209,Taming the Garden,"$5,205",-,5205,2022.csv,2022,-,100%
210,Run,"$5,184,368",-,5184368,2020.csv,2020,-,100%
211,Carona,"$5,123",-,5123,2022.csv,2022,-,100%
212,Love Aaj Kal,"$5,120,794",-,5120794,2020.csv,2020,-,100%
213,Masked Ward,"$5,107,013",-,5107013,2020.csv,2020,-,100%
214,Ayyappanum Koshiyum,"$5,088,713",-,5088713,2020.csv,2020,-,100%
215,Baba Parasi,"$5,084,342",-,5084342,2020.csv,2020,-,100%
216,Die Känguru-Chroniken,"$5,081,127",-,5081127,2020.csv,2020,-,100%
217,Disobedient,"$5,068",-,5068,2022.csv,2022,-,100%
218,Blacklight,"$5,060,238","$4,772,866",287372,2022.csv,2022,94.3%,5.7%
219,The Real Exorcist,"$5,035,830",-,5035830,2020.csv,2020,-,100%
220,Out in Force,"$5,022",-,5022,2022.csv,2022,-,100%
221,Mayday,"$5,011,408",-,5011408,2020.csv,2020,-,100%
222,Luca,"$49,750,471",-,49750471,2021.csv,2021,-,100%
223,Muu Ke Thuong Luu,"$49,344",-,49344,2022.csv,2022,-,100%
224,The New Mutants,"$49,169,594","$23,852,659",25316935,2020.csv,2020,48.5%,51.5%
225,Kaptan Pengu ve Arkadaslari 2,"$488,304",-,488304,2022.csv,2022,-,100%
226,Fireheart,"$486,910",-,486910,2022.csv,2022,-,100%
227,Water Gate Bridge,"$480,028,494",-,480028494,2022.csv,2022,-,100%
228,Sing a Bit of Harmony,"$48,915",-,48915,2022.csv,2022,-,100%
229,Fantasy Island,"$48,811,343","$27,309,289",21502054,2020.csv,2020,55.9%,44.1%
230,Art of the Dead,"$48,621",-,48621,2022.csv,2022,-,100%
231,Around the World in 80 Days,"$479,303",-,479303,2022.csv,2022,-,100%
232,After We Collided,"$47,990,414","$2,386,483",45603931,2020.csv,2020,5%,95%
233,"From Today, It's My Turn: The Movie","$47,866,854",-,47866854,2020.csv,2020,-,100%
234,Sewing Sisters,"$47,588",-,47588,2022.csv,2022,-,100%
235,Don't Breathe 2,"$47,312,950","$32,712,950",14600000,2021.csv,2021,69.1%,30.9%
236,Trolls World Tour,"$47,196,831",-,47196831,2020.csv,2020,-,100%
237,Godzilla vs. Kong,"$468,216,094","$100,916,094",367300000,2021.csv,2021,21.6%,78.4%
238,The Eight Hundred,"$461,421,559","$372,755",461048804,2020.csv,2020,<0.1%,99.9%
239,My Hero Academia: World Heroes' Mission,"$46,567,849","$12,271,658",34296191,2021.csv,2021,26.4%,73.6%
240,Mr. Landsbergis,"$46,298",-,46298,2022.csv,2022,-,100%
241,La notte più lunga dell'anno,"$46,124",-,46124,2022.csv,2022,-,100%
242,Demon Slayer: Mugen Train,"$454,779,627","$49,505,008",405274619,2020.csv,2020,10.9%,89.1%
243,Cow,"$45,678",-,45678,2022.csv,2022,-,100%
244,The French Dispatch,"$45,641,166","$16,124,375",29516791,2021.csv,2021,35.3%,64.7%
245,Fortress,"$45,617",-,45617,2022.csv,2022,-,100%
246,Blow-Up 2020 Re-release,"$45,418",-,45418,2022.csv,2022,-,100%
247,Tanhaji: The Unsung Warrior,"$45,221,814",-,45221814,2020.csv,2020,-,100%
248,Love Will Tear Us Apart,"$45,060,290",-,45060290,2021.csv,2021,-,100%
249,Gold,"$45,021",-,45021,2022.csv,2022,-,100%
250,Unhinged,"$44,331,465","$20,831,465",23500000,2020.csv,2020,47%,53%
251,Shang-Chi and the Legend of the Ten Rings,"$432,233,010","$224,543,292",207689718,2021.csv,2021,51.9%,48.1%
252,In the Heights,"$43,975,167","$29,975,167",14000000,2021.csv,2021,68.2%,31.8%
253,The End of Endless Love,"$43,950,000",-,43950000,2020.csv,2020,-,100%
254,Bad Boys for Life,"$426,505,244","$206,305,244",220200000,2020.csv,2020,48.4%,51.6%
255,"My People, My Homeland","$422,390,820",-,422390820,2020.csv,2020,-,100%
256,Only Fools Rush In,"$42,872",-,42872,2022.csv,2022,-,100%
257,Peninsula,"$42,698,327","$1,231,407",41466920,2020.csv,2020,2.9%,97.1%
258,Spirit Untamed,"$42,636,215","$17,635,215",25001000,2021.csv,2021,41.4%,58.6%
259,Ballad of a White Cow,"$42,467",-,42467,2022.csv,2022,-,100%
260,Monster Hunter,"$42,145,959","$15,162,470",26983489,2020.csv,2020,36%,64%
261,The Chef,"$416,658",-,416658,2022.csv,2022,-,100%
262,Eternals,"$402,064,899","$164,870,234",237194665,2021.csv,2021,41%,59%
263,Dune,"$400,212,452","$107,868,493",292343959,2021.csv,2021,27%,73%
264,Underwater,"$40,882,928","$17,291,078",23591850,2020.csv,2020,42.3%,57.7%
265,The War with Grandpa,"$40,709,936","$21,277,892",19432044,2020.csv,2020,52.3%,47.7%
266,Spiral,"$40,618,920","$23,216,862",17402058,2021.csv,2021,57.2%,42.8%
267,Snake Eyes,"$40,064,325","$28,264,325",11800000,2021.csv,2021,70.5%,29.5%
268,Kingmaker,"$4,998,561",-,4998561,2022.csv,2022,-,100%
269,Bheeshma,"$4,997,080",-,4997080,2020.csv,2020,-,100%
270,Sila Nerangalil Sila Manidhargal,"$4,991",-,4991,2022.csv,2022,-,100%
271,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,4971635,2020.csv,2020,-,100%
272,Godai - The Wunderkind,"$4,948,225",-,4948225,2020.csv,2020,-,100%
273,Hit the Road,"$4,930",-,4930,2022.csv,2022,-,100%
274,Military Wives,"$4,889,252",-,4889252,2020.csv,2020,-,100%
275,Panga,"$4,886,124","$582,720",4303404,2020.csv,2020,11.9%,88.1%
276,The Tales for Old and Young,"$4,853,143",-,4853143,2020.csv,2020,-,100%
277,Streltsov,"$4,850,073",-,4850073,2020.csv,2020,-,100%
278,Between Two Worlds,"$4,847,590",-,4847590,2022.csv,2022,-,100%
279,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",0,2020.csv,2020,100%,-
280,The Empty Man,"$4,796,993","$2,992,948",1804045,2020.csv,2020,62.4%,37.6%
281,The Vets,"$4,788,826",-,4788826,2020.csv,2020,-,100%
282,The Broken Hearts Gallery,"$4,781,389","$4,067,442",713947,2020.csv,2020,85.1%,14.9%
283,Tokyo Story (Colorized Version),"$4,616",-,4616,2022.csv,2022,-,100%
284,Waiting for Bojangles,"$4,405,010",-,4405010,2022.csv,2022,-,100%
285,Vaillante,"$4,082,190",-,4082190,2022.csv,2022,-,100%
286,Tokyo Revengers,"$39,687,069",-,39687069,2021.csv,2021,-,100%
287,Nomadland,"$39,458,207","$3,700,000",35758207,2021.csv,2021,9.4%,90.6%
288,Resident Evil: Welcome to Raccoon City,"$38,600,046","$17,000,046",21600000,2021.csv,2021,44%,56%
289,Black Widow,"$379,631,351","$183,651,655",195979696,2021.csv,2021,48.4%,51.6%
290,Death on the Nile,"$37,949,499","$17,032,346",20917153,2022.csv,2022,44.9%,55.1%
291,The Yinyang Master,"$37,690,000",-,37690000,2021.csv,2021,-,100%
292,"That Day, on the Beach","$37,482",-,37482,2022.csv,2022,-,100%
293,Sarileru Neekevvaru,"$37,389,889","$821,000",36568889,2020.csv,2020,2.2%,97.8%
294,Tenet,"$363,656,624","$58,456,624",305200000,2020.csv,2020,16.1%,83.9%
295,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,36964978,2021.csv,2021,-,100%
296,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,36747486,2020.csv,2020,-,100%
297,The Confidence Man JP: Princess,"$36,109,913",-,36109913,2020.csv,2020,-,100%
298,The Door Lock,"$36,100,000",-,36100000,2021.csv,2021,-,100%
299,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$36,065,638",-,36065638,2021.csv,2021,-,100%
300,The Glance of Music,"$350,503",-,350503,2022.csv,2022,-,100%
301,Nitram,"$344,826",-,344826,2022.csv,2022,-,100%
302,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,34975905,2021.csv,2021,-,100%
303,The Man Standing Next,"$34,664,900","$113,527",34551373,2020.csv,2020,0.3%,99.7%
304,My Mom is a Character 3,"$34,360,029",-,34360029,2020.csv,2020,-,100%
305,King Richard,"$34,250,166","$14,931,337",19318829,2021.csv,2021,43.6%,56.4%
306,Thunderbirds Go Go,"$331,934",-,331934,2022.csv,2022,-,100%
307,Free Guy,"$331,503,757","$121,626,598",209877159,2021.csv,2021,36.7%,63.3%
308,Malignant,"$33,991,791","$13,391,791",20600000,2021.csv,2021,39.4%,60.6%
309,Doraemon the Movie: Nobita's New Dinosaur,"$33,942,341",-,33942341,2020.csv,2020,-,100%
310,Nalan,"$33,925",-,33925,2022.csv,2022,-,100%
311,Deliver Us from Evil,"$33,718,703",-,33718703,2020.csv,2020,-,100%
312,Nightmare Alley,"$33,557,500","$11,047,389",22510111,2021.csv,2021,32.9%,67.1%
313,Bloodshot,"$33,542,457","$12,561,824",20980633,2020.csv,2020,37.5%,62.5%
314,"That Day, on the Beach 2022 Re-release","$33,046",-,33046,2022.csv,2022,-,100%
315,Paw Patrol: Mission Xmas,"$320,402",-,320402,2022.csv,2022,-,100%
316,We Are Nothing,"$32,876",-,32876,2022.csv,2022,-,100%
317,Big Red Envelope,"$32,800,000",-,32800000,2021.csv,2021,-,100%
318,Masquerade Night,"$32,287,400",-,32287400,2021.csv,2021,-,100%
319,Once Upon a Time in Hong Kong,"$32,218,874",-,32218874,2021.csv,2021,-,100%
320,Petya na moyata Petya,"$32,209",-,32209,2022.csv,2022,-,100%
321,Home Sweet Home,"$32,178,677",-,32178677,2021.csv,2021,-,100%
322,Sonic the Hedgehog,"$319,715,683","$148,974,665",170741018,2020.csv,2020,46.6%,53.4%
323,Clean,"$315,448","$315,448",0,2022.csv,2022,100%,-
324,Sing 2,"$311,687,680","$144,194,680",167493000,2021.csv,2021,46.3%,53.7%
325,Respect,"$31,765,870","$24,278,399",7487471,2021.csv,2021,76.4%,23.6%
326,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,31501815,2020.csv,2020,-,100%
327,Honest Thief,"$31,220,247","$14,163,574",17056673,2020.csv,2020,45.4%,54.6%
328,Fritanga Express,"$31,153",-,31153,2022.csv,2022,-,100%
329,The Unholy,"$30,832,137","$15,532,137",15300000,2021.csv,2021,50.4%,49.6%
330,The Last Duel,"$30,552,111","$10,853,945",19698166,2021.csv,2021,35.5%,64.5%
331,Like a Boss,"$30,399,490","$22,169,514",8229976,2020.csv,2020,72.9%,27.1%
332,Mission Extreme,"$3,981",-,3981,2022.csv,2022,-,100%
333,Koniec swiata czyli Kogel Mogel 4,"$3,871,192",-,3871192,2022.csv,2022,-,100%
