Rank,Release Group,Worldwide,Domestic,%,Foreign,%
158,My Little Princess 2022 Re-release,"$8,018",-,-,"$8,018",100%
159,Koati,"$7,948",-,-,"$7,948",100%
160,Söhretler Okulu,"$7,638",-,-,"$7,638",100%
161,Dzhigalou,"$7,578",-,-,"$7,578",100%
162,Ubit bossa,"$7,565",-,-,"$7,565",100%
163,Zayed 9,"$7,273",-,-,"$7,273",100%
164,Mark Hunt: The Fight of His Life,"$7,259",-,-,"$7,259",100%
165,Deadlock,"$6,491",-,-,"$6,491",100%
166,Detours,"$6,487",-,-,"$6,487",100%
167,Mer Baky 4,"$6,040",-,-,"$6,040",100%
168,Italian Studies,"$5,895","$5,895",100%,-,-
169,Caged Birds,"$5,828",-,-,"$5,828",100%
170,Jumanji 2021 Re-release,"$5,788",-,-,"$5,788",100%
171,Last Film Show,"$5,783",-,-,"$5,783",100%
172,Alter Ego,"$5,733","$5,733",100%,-,-
173,Babi Yar. Context,"$5,240",-,-,"$5,240",100%
174,Taming the Garden,"$5,205",-,-,"$5,205",100%
175,Carona,"$5,123",-,-,"$5,123",100%
176,Disobedient,"$5,068",-,-,"$5,068",100%
177,Out in Force,"$5,022",-,-,"$5,022",100%
178,Sila Nerangalil Sila Manidhargal,"$4,991",-,-,"$4,991",100%
179,Hit the Road,"$4,930",-,-,"$4,930",100%
180,Tokyo Story (Colorized Version),"$4,616",-,-,"$4,616",100%
181,Mission Extreme,"$3,981",-,-,"$3,981",100%
182,Zone 414,"$3,703",-,-,"$3,703",100%
183,Arekalar,"$3,599",-,-,"$3,599",100%
184,The Maid,"$3,475",-,-,"$3,475",100%
185,Abbi Fede,"$2,900",-,-,"$2,900",100%
186,Eduardo and Monica,"$2,468",-,-,"$2,468",100%
187,Canim Dayim,"$2,205",-,-,"$2,205",100%
188,Lines,"$1,977",-,-,"$1,977",100%
189,Gelin,"$1,955",-,-,"$1,955",100%
190,Moraba'A Bermuda,"$1,372",-,-,"$1,372",100%
191,Vidhi,"$1,352",-,-,"$1,352",100%
192,Hive,"$1,322",-,-,"$1,322",100%
193,Night Raiders,"$1,281",-,-,"$1,281",100%
194,The Girl and the Spider,"$1,261",-,-,"$1,261",100%
195,The Wild Life,"$1,212",-,-,"$1,212",100%
196,28½,"$1,066",-,-,"$1,066",100%
197,Ninjababy,"$1,046",-,-,"$1,046",100%
198,Rowdy Boys,"$1,029",-,-,"$1,029",100%
199,Asterrarium,$772,-,-,$772,100%
200,Estado impuro,$514,-,-,$514,100%
